"","Country.Territory","Status_2002","PR.Rating_2002","CL.Rating_2002","PR.Aggr_2002","CL.Aggr_2002","Status_2003","PR.Rating_2003","CL.Rating_2003","PR.Aggr_2003","CL.Aggr_2003","Status_2004","PR.Rating_2004","CL.Rating_2004","PR.Aggr_2004","CL.Aggr_2004","Status_2005","PR.Rating_2005","CL.Rating_2005","PR.Aggr_2005","CL.Aggr_2005","Total.Aggr_2005","Status_2006","PR.Rating_2006","CL.Rating_2006","PR.Aggr_2006","CL.Aggr_2006","Total.Aggr_2006","Status_2007","PR.Rating_2007","CL.Rating_2007","PR.Aggr_2007","CL.Aggr_2007","Total.Aggr_2007","Status_2008","PR.Rating_2008","CL.Rating_2008","PR.Aggr_2008","CL.Aggr_2008","Total.Aggr_2008","Status_2009","PR.Rating_2009","CL.Rating_2009","PR.Aggr_2009","CL.Aggr_2009","Total.Aggr_2009","Status_2010","PR.Rating_2010","CL.Rating_2010","PR.Aggr_2010","CL.Aggr_2010","Total.Aggr_2010","Status_2011","PR.Rating_2011","CL.Rating_2011","PR.Aggr_2011","CL.Aggr_2011","Total.Aggr_2011","Status_2012","PR.Rating_2012","CL.Rating_2012","PR.Aggr_2012","CL.Aggr_2012","Total.Aggr_2012","Status_2013","PR.Rating_2013","CL.Rating_2013","PR.Aggr_2013","CL.Aggr_2013","Total.Aggr_2013","Status_2014","PR.Rating_2014","CL.Rating_2014","PR.Aggr_2014","CL.Aggr_2014","Total.Aggr_2014","Status_2015","PR.Rating_2015","CL.Rating_2015","PR.Aggr_2015","CL.Aggr_2015","Total.Aggr_2015","Status_2016","PR.Rating_2016","CL.Rating_2016","PR.Aggr_2016","CL.Aggr_2016","Total.Aggr_2016","Status_2017","PR.Rating_2017","CL.Rating_2017","PR.Aggr_2017","CL.Aggr_2017","Total.Aggr_2017"
"1","Abkhazia*","NF",6,5,9,20,"NF",6,5,9,21,"NF",6,5,9,21,"PF",5,5,13,21,34,"PF",5,5,13,21,34,"PF",5,5,15,21,36,"PF",5,5,14,21,35,"PF",5,5,14,21,35,"PF",5,5,15,22,37,"PF",5,5,17,22,39,"PF",4,5,18,22,40,"PF",4,5,18,22,40,"PF",4,5,18,23,41,"PF",4,5,19,23,42,"PF",4,5,18,23,41,"PF",4,5,18,23,41
"2","Afghanistan","NF",6,6,8,15,"NF",6,6,9,14,"NF",5,6,13,14,"PF",5,5,16,19,35,"PF",5,5,17,18,35,"PF",5,5,17,17,34,"NF",5,6,16,16,32,"NF",6,6,11,16,27,"NF",6,6,10,15,25,"NF",6,6,10,13,23,"NF",6,6,11,16,27,"NF",6,6,11,15,26,"NF",6,6,11,13,24,"NF",6,6,10,14,24,"NF",6,6,10,14,24,"NF",5,6,12,14,26
"3","Albania","PF",3,3,26,42,"PF",3,3,26,42,"PF",3,3,26,40,"PF",3,3,25,38,63,"PF",3,3,26,38,64,"PF",3,3,26,39,65,"PF",3,3,26,40,66,"PF",3,3,26,39,65,"PF",3,3,26,40,66,"PF",3,3,24,39,63,"PF",3,3,24,39,63,"PF",3,3,27,40,67,"PF",3,3,27,40,67,"PF",3,3,27,40,67,"PF",3,3,28,40,68,"PF",3,3,28,40,68
"4","Algeria","NF",6,5,11,22,"NF",6,5,11,22,"NF",6,5,10,25,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"NF",6,5,11,24,35,"NF",6,5,11,24,35,"NF",6,5,11,23,34,"NF",6,5,11,23,34,"NF",6,5,11,24,35,"NF",6,5,11,24,35,"NF",6,5,10,25,35
"5","Andorra","F",1,1,39,57,"F",1,1,39,58,"F",1,1,39,58,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,56,95,"F",1,1,39,57,96
"6","Angola","NF",6,5,8,22,"NF",6,5,7,22,"NF",6,5,8,22,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,11,21,32,"NF",6,5,10,21,31,"NF",6,5,10,21,31,"NF",6,5,10,19,29,"NF",6,5,11,19,30,"NF",6,5,11,18,29,"NF",6,5,10,18,28,"NF",6,6,10,14,24,"NF",6,6,10,14,24,"NF",6,6,10,16,26
"7","Antigua and Barbuda","PF",4,2,18,47,"PF",4,2,19,46,"F",2,2,30,47,"F",2,2,30,47,77,"F",2,2,30,47,77,"F",2,2,30,47,77,"F",2,2,30,47,77,"F",3,2,29,47,76,"F",3,2,29,48,77,"F",3,2,29,48,77,"F",2,2,31,49,80,"F",2,2,31,49,80,"F",2,2,31,49,80,"F",2,2,33,49,82,"F",2,2,33,50,83,"F",2,2,33,50,83
"8","Argentina","PF",3,3,24,41,"F",2,2,35,46,"F",2,2,35,48,"F",2,2,34,50,84,"F",2,2,33,48,81,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,32,49,81,"F",2,2,31,49,80,"F",2,2,31,49,80,"F",2,2,31,49,80,"F",2,2,31,48,79,"F",2,2,33,49,82,"F",2,2,33,50,83
"9","Armenia","PF",4,4,20,34,"PF",4,4,20,32,"PF",5,4,16,28,"PF",5,4,13,28,41,"PF",5,4,13,28,41,"PF",5,4,14,28,42,"PF",6,4,11,27,38,"PF",6,4,11,28,39,"PF",6,4,11,28,39,"PF",6,4,11,29,40,"PF",5,4,13,29,42,"PF",5,4,14,29,43,"PF",5,4,16,30,46,"PF",5,4,16,30,46,"PF",5,4,16,29,45,"PF",5,4,15,30,45
"10","Australia","F",1,1,39,57,"F",1,1,39,57,"F",1,1,39,57,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98
