"","Clients"
"1","Socialist Movement for Integration (Albania)"
"2","President Eduardo Duhalde, PJ (Argentina)"
"3","Governor Daniel Scioli, PJ (Provincia de Buenos Aires, Argentina)"
"4","Prime Minister Julia Gillard, ALP (Australia)"
"5","Premier Morris Iemma, ALP (NSW, Australia)"
"6","Chancellor Alfred Gusenbauer, SPÖ (Austria)"
"7","Mayor Michael Häupl, SPÖ (Vienna, Austria)"
"8","Prime Minister Perry Christie, PLP (Bahamas)"
"9","President Gonzalo Sánchez de Lozada, MNR (Bolivia)"
"10","Mayor Percy Fernandez (Santa Cruz, Bolivia)"
"11","Mayor Eduardo Paes, PMBD (Rio de Janeiro, Brazil)"
"12","Minister María Emma Mejía (Colombia)"
"13","CSSD (Czech Republic)"
"14","PRD (Dominican Republic)"
"15","President Mauricio Funes, FMLN (El Salvador)"
"16","Pro Patria/Res Publica Party, IRL (Estonia)"
"17","Chancellor Gerhard Schröder, SPD (Germany)"
"18","President Carlos Roberto Flores Facusse, PLH (Honduras)"
"19","President Manuel Zelaya, PLH (Honduras)"
"20","Prime Minister Péter Medgyessy (Hungary)"
"21","Taoiseach Enda Kenny, Fine Gael (Ireland)"
"22","Prime Minister Ehud Barak, HaAvoda (Israel)"
"23","Minister Shelly Yachimovich, HaAvoda (Israel)"
"24","Francesco Rutelli (Italy)"
"25","l'Ulivo (Italy)"
"26","Francisco Labastida Ochoa, PRI (Mexico)"
"27","Prime Minister Vlad Filat, PLDM (Moldova)"
"28","President Alejandro Toledo, PP (Peru)"
"29","Freedom Union/Democratic Party (Poland)"
"30","President Mikheil Saakashvili, UNM (Republic of Georgia)"
"31","Mayor Gigi Ugulava, UNM (Tbilisi, Georgia)"
"32","President Traian Băsescu (Romania)"
"33","President Thabo Mbeki, ANC (South Africa)"
"34","President Viktor Yuschchenko, Our Ukraine Party (Ukraine)"
"35","Prime Minister Tony Blair, Labour (UK)"
"36","Ed Miliband, Labour (UK)"
"37","Minister Mladjan Dinkic, G17 Plus/United Regions of Serbia"
"38","President Nelson Mandela, ANC (South Africa)"
